Screen Width,Browser Window Width,Session Count
1920,1920,13372217
1920,1912,2749887
1920,1872,2709569
1536,1536,2468192
1920,1904,1263303
1280,1280,1231593
1920,2133,642791
2560,2560,599457
1536,1528,558330
1440,1440,509534
1536,1488,503374
1680,1680,465624
1366,1366,449476
1600,1600,434324
1280,1272,365278
1920,1745,364849
1920,2400,288076
1920,1720,268231
1280,1232,261405
1536,1522,226127
1920,1536,214593
2048,2048,195251
1536,1920,179949
1536,1707,149921
1920,2560,143130
1920,2124,141615
1920,1482,133452
1366,1358,123450
1024,1004,111339
1280,1266,98753
1600,1592,97574
2560,2552,95628
1920,2080,95272
1280,1422,94101
1707,1707,92183
1920,1526,90378
1680,1672,90251
2560,2512,89396
1680,1632,89182
1920,1738,88401
1600,1552,84907
1366,1318,80407
1280,1600,78963
1280,1920,75026
1920,1865,74105
1920,1702,73175
1504,1504,69627
1920,1280,67839
1470,1470,67731
1512,1512,65434
3440,1718,64816
1536,1396,63634
1920,958,60928
1440,1432,59065
1920,2390,58927
2560,1278,58690
1680,1664,55595
1728,1728,54237
1280,1707,53733
1920,2115,53394
1536,2048,53376
3440,3440,50325
1920,2340,48185
1920,2880,47409
1368,1368,46948
1980,1980,46940
1920,1825,46274
1440,1392,43699
1920,1530,43475
1600,1584,42622
1920,1731,40198
1366,1350,39937
1360,1360,38895
2048,2040,37866
2560,2544,37654
1366,800,37355
1920,1498,36500
1024,1024,35571
1344,1344,34024
1280,1264,33621
2048,2000,32349
1366,1517,32282
1664,1664,31669
1920,2549,30646
1536,1698,30170
1746,1746,30157
1920,2496,29977
2560,2327,29720
2560,2844,29687
1920,1858,28663
1280,1413,28078
1920,952,27842
390,390,26772
2195,2195,26516
800,1366,26237
1710,1710,26111
1536,1340,25901
1920,1523,25869
1280,1590,25768
1536,1653,24510
1600,1601,23629
1792,1792,23540
1440,1424,23491
1280,1696,23071
3840,1918,22823
2240,2240,22640
1920,2380,22286
1536,2304,21717
1536,1482,21710
1024,1366,21230
1920,1440,21057
1500,1500,20563
1504,1496,20502
1920,1520,20270
1536,1910,19723
1366,1707,19291
1504,1456,19139
1920,1525,19134
1600,1777,18923
1536,1229,18374
1707,1659,18225
1920,1902,18222
1715,1715,18221
1707,1699,18083
430,430,17987
800,1920,17907
1680,1866,17716
375,375,17636
1280,1163,17574
2752,2752,16501
1685,1685,16365
1440,1324,16315
2144,2144,16122
1536,1389,15911
2560,1280,15853
1920,1896,15797
1536,1860,15688
1536,1336,15598
1536,1912,15515
1278,1278,15375
1829,1830,15190
1920,1722,15083
1536,1098,15001
1920,950,14899
1920,1488,14829
1280,1369,14566
3440,1710,14469
1920,1884,14416
1920,1856,14173
1920,1528,14090
1920,1264,13831
2560,2048,13711
1366,1242,13692
1920,658,13667
1536,1474,13588
1920,1512,13401
1366,1821,13399
3440,3424,13279
3440,1670,13103
1920,1908,13022
1280,1540,13004
1920,929,12969
1080,1080,12963
1537,1536,12876
2560,2360,12865
1680,2100,12652
1920,960,12628
1920,1911,12618
393,393,12531
1152,1152,12507
1536,1692,12161
1920,2538,12036
1600,1455,11900
1536,1520,11885
1536,1514,11703
1739,1740,11677
428,428,11638
1098,1098,11567
1536,1142,11493
1536,1872,11436
1280,1908,11415
2048,2276,11402
1536,1984,11354
1536,2037,11303
1920,1718,11252
1920,1857,11208
1440,1600,11053
1920,1680,10996
2560,3200,10861
414,414,10810
1920,1541,10694
1760,1760,10657
1280,2560,10598
1920,1275,10537
1280,1912,10534
1920,1842,10525
820,1180,10466
1920,1272,10420
1463,1463,10401
3440,3392,10265
1477,1478,10249
2560,1270,10247
810,1080,10180
2048,2034,10112
1920,1564,10059
1664,1656,9953
768,1024,9920
1920,1197,9869
3440,3432,9857
360,360,9831
1762,1762,9744
1366,2037,9737
1920,1248,9718
2560,2546,9643
1536,1442,9614
1670,1670,9604
1847,1847,9590
1920,910,9535
1397,1397,9531
1366,1964,9417
1360,1352,9412
1920,1726,9337
1664,1616,9332
2560,1920,9298
1920,1916,9292
1280,1407,9280
1680,1527,9274
1536,1524,9260
1920,1600,9258
1920,1366,9256
1676,1676,9158
1920,1918,9143
2560,1230,9110
2294,2294,9088
1600,1400,9062
412,412,8960
1366,1508,8924
834,1194,8660
1865,1865,8638
1920,1277,8502
1368,1320,8471
1920,1695,8447
1680,1480,8384
1280,1050,8383
1920,1900,8377
1920,1232,8377
1920,1064,8372
1920,1024,8346
1280,1156,8290
2400,2400,8279
1920,1850,8267
1280,1225,8266
1280,1258,8236
1423,1424,8218
1920,1522,8198
1280,1872,8179
1536,1353,8165
1600,2000,8140
1368,1360,8108
1920,1472,8104
2561,2560,8101
1280,1643,8099
1440,1920,8001
1920,1873,7977
1920,2868,7879
1920,1821,7811
1366,2049,7803
1440,1199,7781
1642,1643,7773
5120,2558,7700
1920,1707,7698
1920,1470,7647
1920,944,7633
1280,1218,7616
1920,1728,7474
1730,1731,7436
1920,1269,7411
1920,1376,7398
1536,1384,7329
1280,1582,7309
1281,1280,7305
1280,842,7150
1639,1639,7139
1372,1372,7107
2048,2560,7064
1229,1229,7046
1920,1278,7025
390,980,7008
1920,1347,6960
1440,1800,6932
1536,767,6930
1620,1620,6905
1360,1312,6880
1920,1907,6838
1920,1324,6802
1920,1836,6794
3840,3840,6749
1920,1646,6725
1440,1420,6693
1920,1719,6660
1366,1697,6657
1680,1344,6643
1696,1696,6630
1494,1494,6604
1920,1827,6588
1920,1517,6574
1603,1604,6476
3440,1720,6466
1920,1849,6444
1920,1852,6428
1280,886,6424
1746,1698,6421
1746,1738,6310
1280,1088,6280
2049,2048,6228
1920,1876,6226
1920,1504,6223
1536,1540,6193
1614,1614,6178
1280,1706,6145
1418,1418,6131
1024,1016,6115
1440,1240,6095
1549,1549,6092
1366,1311,6082
1280,1268,6065
1920,2808,6064
1920,1266,6009
1920,904,5997
1628,1629,5975
384,384,5907
1920,1350,5901
1536,1538,5880
1920,1422,5859
1920,1704,5841
2560,1264,5807
1536,1526,5785
1408,1408,5780
2560,3413,5777
1920,1866,5775
1883,1883,5759
1920,1810,5755
1680,2240,5753
1920,1097,5750
1366,1166,5747
1920,1868,5741
1536,1903,5723
1366,1920,5702
1708,1707,5696
1795,1795,5691
1920,1437,5666
1120,1120,5644
1920,1435,5643
1587,1588,5640
1700,1700,5596
1574,1575,5583
1920,1533,5579
1920,1387,5558
1920,1664,5553
1536,1530,5552
1512,1513,5521
1920,1860,5518
2560,1420,5509
1280,1024,5495
1920,1256,5484
1504,1490,5438
1830,1830,5436
1440,1200,5361
1920,1870,5322
2560,1279,5313
1920,1903,5310
1280,1688,5303
1920,1919,5299
1536,1222,5265
1680,1920,5248
1440,1439,5242
1536,2133,5219
1920,1516,5217
1920,1396,5149
3440,3240,5146
1920,1479,5118
1920,1565,5110
1600,1280,5099
2048,1862,5096
1600,2133,5078
1920,1659,5077
1383,1383,5055
1920,1910,5053
1536,1280,5045
1920,1420,5040
1920,1216,5025
1778,1779,5016
2560,2320,5008
1366,1810,5004
1536,1458,4978
1920,1492,4978
1920,1518,4965
1536,1518,4950
1348,1348,4943
1344,1296,4934
1440,1264,4934
1440,1427,4905
1920,1888,4895
1920,1894,4883
1920,1424,4875
1920,881,4870
1920,1854,4855
2560,2122,4853
1200,1200,4852
1280,1848,4847
1344,1336,4841
1920,1706,4831
1920,1906,4826
1920,1838,4797
1536,2560,4786
1731,1731,4771
3440,1908,4759
1920,1710,4738
1470,1324,4699
1920,1580,4699
1440,1309,4691
1920,1792,4659
1920,1200,4638
1740,1740,4615
1920,936,4614
1334,1334,4602
2195,2187,4589
1920,1783,4572
1685,1677,4538
1500,1492,4534
1536,1706,4529
1920,1679,4510
1280,1185,4504
1707,1693,4490
1920,1877,4487
2560,1272,4479
1500,1452,4468
1920,1848,4460
1536,1190,4458
1920,1688,4439
2752,1375,4419
1920,1905,4416
1920,1524,4413
1920,1880,4405
1536,2292,4387
2560,2791,4379
1920,1628,4375
1536,1904,4369
1920,1456,4353
1290,1267,4329
1920,1619,4326
1475,1475,4307
1496,1496,4307
1920,1519,4295
2560,1707,4275
2560,2835,4270
1920,1496,4248
1536,1521,4247
1463,1455,4244
1536,1523,4237
1812,1812,4233
1920,2150,4220
1920,1584,4219
1824,1824,4206
1152,1144,4204
1440,1438,4189
1920,1686,4189
1400,1400,4184
1920,1632,4180
1344,1330,4173
1600,1768,4157
1920,1400,4154
1920,1284,4145
1920,1593,4144
1280,1080,4125
1366,1464,4113
1920,1820,4096
1489,1489,4091
1920,1508,4080
1280,1120,4065
1920,1500,4061
1920,1895,4057
1536,1494,4052
2195,2147,4051
1920,1834,4048
320,320,4046
1536,1338,4043
1920,1624,4029
1376,1376,4028
1536,2232,4026
1152,1026,4020
1280,1081,4010
1466,1466,3993
1536,1024,3978
2560,1536,3975
1920,1913,3970
1920,1653,3962
1440,1400,3957
1920,1846,3947
1920,1360,3945